name,population
AALIYAH,1557
AARON,13359
ABBEY,1917
ABBY,913
ABIGAIL,3869
ADAM,28045
ADDISON,1577
ADELINE,559
ADRIAN,6942
AIDAN,2782
AIDEN,4226
AIMEE,585
AISHA,250
ALAN,6399
ALANA,2887
ALEX,3982
ALEXANDER,20780
ALEXANDRA,7380
ALEXIS,1583
ALFIE,394
ALI,3361
ALICE,3897
ALICIA,3510
ALISON,9138
ALLAN,5349
ALLEN,512
ALLISON,1657
ALYCE,302
ALYSSA,3051
AMANDA,17771
AMARA,281
AMBER,3978
AMELIA,12105
AMELIE,795
AMIRA,90
AMY,12531
ANASTASIA,231
ANDREW,43723
ANGELA,10242
ANGELINA,1098
ANGUS,5573
ANITA,836
ANN,3822
ANNA,9518
ANNABEL,71
ANNABELLE,2716
ANNE,7994
ANNETTE,4839
ANTHONY,33068
ANTONIO,452
ANTONY,60
ARCHER,2498
ARCHIE,4419
ARI,391
ARIA,2668
ARIANA,1182
ARLO,1979
ARTHUR,2303
ASHER,848
ASHLEE,1051
ASHLEIGH,5095
ASHLEY,7000
ASHTON,2961
AUDREY,3156
AUGUST,92
AURORA,1585
AUSTIN,2274
AVA,8595
AXEL,103
AYLA,1483
BAILEY,4341
BARBARA,3748
BARRY,4554
BEAU,4178
BELINDA,11282
BELLA,2341
BEN,3531
BENJAMIN,33730
BERNADETTE,705
BERNARD,1212
BETHANY,899
BEVERLEY,1506
BIANCA,4387
BILLIE,1352
BILLY,620
BLAKE,8806
BODHI,970
BONNIE,1141
BRAD,225
BRADLEY,15055
BRANDON,2928
BRAXTON,795
BRAYDEN,1211
BREANNA,254
BRENDA,703
BRENDAN,7941
BRENDON,1302
BRENT,1470
BRENTON,193
BRETT,13242
BRIAN,9148
BRIANNA,2126
BRITNEY,177
BRITTANY,2353
BROCK,1126
BRODIE,1263
BRONTE,497
BRONWYN,3429
BROOKE,6849
BRUCE,6248
BRYAN,135
BRYCE,1058
CAITLIN,5736
CAITLYN,641
CALEB,3550
CALLIE,75
CALLUM,3101
CAMERON,10350
CANDICE,577
CARLA,80
CARLY,1356
CARMEL,559
CAROL,3834
CAROLINE,1907
CAROLYN,4413
CARTER,1379
CASEY,1397
CASSANDRA,4946
CATHERINE,14080
CATHY,331
CHAD,922
CHANTELLE,1305
CHARLES,5809
CHARLI,468
CHARLIE,7890
CHARLIZE,80
CHARLOTTE,13745
CHASE,953
CHELSEA,4548
CHERIE,266
CHERYL,7212
CHLOE,16633
CHRISTIAN,5798
CHRISTINA,1312
CHRISTINE,15732
CHRISTOPHER,42784
CINDY,1005
CLAIRE,5734
CLARA,241
CLARE,744
CLAUDIA,2089
CLEO,77
CLINT,255
CLINTON,790
CODY,2646
COLIN,7854
COLLEEN,2226
CONNOR,5877
COOPER,9260
COREY,3868
COURTNEY,4664
CRAIG,18940
CRYSTAL,646
DAISY,1542
DALE,2100
DAMIAN,1385
DAMIEN,3775
DANE,1115
DANIEL,44785
DANIELLE,8957
DANNY,1201
DARCY,1983
DARRELL,114
DARREN,11654
DARRIN,637
DARRYL,1627
DARYL,961
DAVID,66911
DAWN,72
DEAN,9380
DEBBIE,3457
DEBORAH,12734
DEBRA,6524
DECLAN,874
DELILAH,581
DENIS,353
DENISE,4050
DENNIS,2300
DESMOND,338
DIANA,1482
DIANE,4767
DIANNE,5139
DOMINIC,3015
DONALD,2572
DONNA,10778
DOROTHY,450
DOUGLAS,2852
DYLAN,11355
EBONY,1553
EDEN,1373
EDWARD,8511
ELAINE,396
ELEANOR,1657
ELENA,900
ELI,2619
ELIANA,730
ELIAS,816
ELIJAH,5315
ELISE,1159
ELIZA,2442
ELIZABETH,22247
ELLA,9919
ELLEN,943
ELLIE,3304
ELODIE,279
ELOISE,1620
ELSIE,1629
EMILIA,1688
EMILY,21505
EMMA,21081
ERIC,1322
ERIN,6331
ETHAN,12838
EVA,3583
EVAN,276
EVE,387
EVELYN,3462
EVIE,4207
EZRA,705
FAY,67
FELICITY,401
FELIX,1450
FINN,3164
FIONA,8062
FLETCHER,119
FLORENCE,1508
FLYNN,2898
FRANCES,1651
FRANCIS,803
FRANK,1222
FRANKIE,1453
FREDERICK,676
FREYA,1230
GABRIEL,2880
GABRIELLA,1343
GABRIELLE,2506
GAIL,3504
GARRY,6849
GARY,10282
GAVIN,3745
GAYLE,234
GEMMA,2482
GEOFFREY,9740
GEORGE,12719
GEORGIA,10346
GEORGINA,854
GERARD,646
GIUSEPPE,476
GLEN,5772
GLENDA,1343
GLENN,9359
GLORIA,152
GORDON,1571
GRACE,11665
GRAEME,4483
GRAHAM,6978
GRAHAME,666
GRANT,6930
GRAYSON,180
GREGORY,23475
GUY,254
HALLIE,661
HAMISH,2593
HANNAH,11720
HARLEY,759
HARLOW,318
HAROLD,120
HARPER,3874
HARRIET,1236
HARRISON,9501
HARRY,7157
HARVEY,2244
HAYDEN,5615
HAYLEY,7095
HAZEL,2157
HEATH,239
HEATHER,2889
HEIDI,1922
HELEN,10887
HENRY,7497
HOLLY,4904
HOWARD,66
HUDSON,3838
HUGO,3175
HUNTER,4513
IAN,15258
IBRAHIM,198
IMOGEN,2942
INDIANA,876
IRENE,566
ISAAC,8863
ISABEL,1293
ISABELLA,12766
ISABELLE,4758
ISAIAH,733
ISLA,5718
IVY,4189
JACINTA,90
JACK,23331
JACKSON,7865
JACOB,15705
JACQUELINE,8116
JADE,6332
JAI,719
JAIME,82
JAKE,11185
JAMES,45885
JAMIE,6973
JAN,1161
JANE,6907
JANELLE,3134
JANET,2588
JANETTE,1325
JANICE,2042
JANINE,2045
JARED,882
JARROD,1959
JASMIN,89
JASMINE,7314
JASON,24333
JASPER,2288
JAXON,1759
JAY,1674
JAYDEN,8887
JEAN,65
JEANETTE,1432
JEFFERY,668
JEFFREY,7045
JEMMA,264
JENNA,1166
JENNIFER,27000
JENNY,76
JEREMY,5685
JESSE,5351
JESSICA,29127
JESSIE,590
JETT,828
JILL,787
JILLIAN,346
JO-ANNE,483
JOAN,491
JOANNA,158
JOANNE,13268
JODI,799
JODIE,5632
JODY,380
JOEL,7836
JOHN,46511
JONATHAN,7591
JONATHON,1153
JORDAN,11236
JORJA,399
JOSEPH,14658
JOSEPHINE,144
JOSHUA,33421
JOY,683
JUDE,1053
JUDITH,6824
