area,population
강원 강릉시,205790
강원 고성군,27189
강원 동해시,85608
강원 삼척시,60408
강원 속초시,78805
강원 양구군,20358
강원 양양군,27417
강원 영월군,35757
강원 원주시,364570
강원 인제군,30752
강원 정선군,35113
강원 철원군,39727
강원 춘천시,285160
강원 태백시,36853
강원 평창군,39917
강원 홍천군,65889
강원 화천군,22328
강원 횡성군,45596
경기 가평군,62044
경기 고양시 덕양구,483267
경기 고양시 일산동구,297895
경기 고양시 일산서구,276309
경기 과천시,80384
경기 광명시,303479
경기 광주시,398250
경기 구리시,187463
경기 군포시,249770
경기 김포시,484047
경기 남양주시,727717
경기 동두천시,86243
경기 부천시 소사구,224399
경기 부천시 오정구,148946
경기 부천시 원미구,382692
경기 성남시 분당구,468368
경기 성남시 수정구,234328
경기 성남시 중원구,201051
경기 수원시 권선구,360343
경기 수원시 영통구,362168
경기 수원시 장안구,270245
경기 수원시 팔달구,193364
경기 시흥시,514804
경기 안산시 단원구,288673
경기 안산시 상록구,321039
경기 안성시,198631
경기 안양시 동안구,328926
경기 안양시 만안구,233415
경기 양주시,296976
경기 양평군,126746
경기 여주시,113541
경기 연천군,42868
경기 오산시,252414
경기 용인시 기흥구,434363
경기 용인시 수지구,369798
경기 용인시 처인구,285532
경기 의왕시,163071
경기 의정부시,461816
경기 이천시,223635
경기 파주시,532124
경기 평택시,618234
경기 포천시,140464
경기 하남시,327571
경기 화성시 동탄구,428440
경기 화성시 만세구,234599
경기 화성시 병점구,174699
경기 화성시 효행구,159975
경상남 거제시,229221
경상남 거창군,58874
경상남 고성군,46849
경상남 김해시,532665
경상남 남해군,41091
경상남 밀양시,98619
경상남 사천시,107808
경상남 산청군,32672
경상남 양산시,361433
경상남 의령군,24481
경상남 진주시,334984
경상남 창녕군,54536
경상남 창원시 마산합포구,174767
경상남 창원시 마산회원구,174485
경상남 창원시 성산구,245920
경상남 창원시 의창구,208424
경상남 창원시 진해구,183163
경상남 통영시,115818
경상남 하동군,39703
경상남 함안군,56985
경상남 함양군,35217
경상남 합천군,38917
경상북 경산시,263639
경상북 경주시,243141
경상북 고령군,29581
경상북 구미시,402867
경상북 김천시,132840
경상북 문경시,64792
경상북 봉화군,28107
경상북 상주시,89382
경상북 성주군,40552
경상북 안동시,152246
경상북 영덕군,32525
경상북 영양군,15969
경상북 영주시,96511
경상북 영천시,94331
경상북 예천군,53467
경상북 울릉군,8756
경상북 울진군,46096
경상북 의성군,47893
경상북 청도군,40058
경상북 청송군,23280
경상북 칠곡군,103618
경상북 포항시 남구,213333
경상북 포항시 북구,273722
광주 광산구,384040
광주 남구,206083
광주 동구,105005
광주 북구,416326
광주 서구,274925
대구 군위군,22674
대구 남구,140620
대구 달서구,514075
대구 달성군,252210
대구 동구,338260
대구 북구,407548
대구 서구,163748
대구 수성구,408527
대구 중구,101643
대전 대덕구,164379
대전 동구,218505
대전 서구,463601
대전 유성구,371147
대전 중구,224581
부산 강서구,153175
부산 금정구,205968
부산 기장군,175273
부산 남구,254174
부산 동구,83432
부산 동래구,271437
부산 부산진구,365104
부산 북구,260994
부산 사상구,192718
부산 사하구,282633
부산 서구,101320
부산 수영구,168513
부산 연제구,211509
부산 영도구,100748
부산 중구,36375
부산 해운대구,370920
서울 강남구,552962
서울 강동구,499058
서울 강북구,278294
서울 강서구,548622
서울 관악구,478154
서울 광진구,331136
서울 구로구,382652
서울 금천구,222655
서울 노원구,481589
서울 도봉구,298571
서울 동대문구,352299
서울 동작구,372327
서울 마포구,356856
서울 서대문구,300236
서울 서초구,414486
서울 성동구,274694
서울 성북구,422190
서울 송파구,650505
서울 양천구,422070
서울 영등포구,371772
서울 용산구,199810
서울 은평구,453398
서울 종로구,136518
서울 중구,117765
서울 중랑구,376463
세종,391064
울산 남구,304385
울산 동구,147834
울산 북구,213772
울산 울주군,218259
울산 중구,203216
인천 강화군,69689
인천 계양구,276563
인천 남동구,479343
인천 동구,57836
인천 미추홀구,417725
인천 부평구,488829
인천 서구,660464
인천 연수구,410308
인천 옹진군,19376
인천 중구,178490
전라남 강진군,31746
전라남 고흥군,59047
전라남 곡성군,27643
전라남 광양시,155909
전라남 구례군,23995
전라남 나주시,116791
전라남 담양군,44112
전라남 목포시,199813
전라남 무안군,95807
전라남 보성군,36691
전라남 순천시,274685
전라남 신안군,42207
전라남 여수시,260913
전라남 영광군,53933
전라남 영암군,50069
전라남 완도군,44238
전라남 장성군,43009
전라남 장흥군,34006
전라남 진도군,27884
전라남 함평군,29490
전라남 해남군,62086
전라남 화순군,60008
전북 고창군,50148
전북 군산시,255649
전북 김제시,81665
전북 남원시,73937
전북 무주군,23202
전북 부안군,47009
전북 순창군,27611
전북 완주군,100033
전북 익산시,266818
전북 임실군,25347
전북 장수군,21144
전북 전주시 덕진구,307726
전북 전주시 완산구,314034
전북 정읍시,100683
전북 진안군,24414
제주 서귀포시,178798
제주 제주시,484171
충청남 계룡시,45972
충청남 공주시,99841
충청남 금산군,48975
충청남 논산시,106094
충청남 당진시,172285
충청남 보령시,91353
충청남 부여군,57822
충청남 서산시,171306
충청남 서천군,46844
충청남 아산시,363223
충청남 예산군,78337
충청남 천안시 동남구,263552
충청남 천안시 서북구,402306
충청남 청양군,30081
충청남 태안군,59083
충청남 홍성군,101443
충청북 괴산군,37428
충청북 단양군,26623
충청북 보은군,30716
충청북 영동군,43031
충청북 옥천군,50423
충청북 음성군,95787
충청북 제천시,128306
충청북 증평군,36724
충청북 진천군,85558
충청북 청주시 상당구,193425
충청북 청주시 서원구,187416
충청북 청주시 청원구,186312
