area,total,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59
Total,4044210,244540,287000,297800,299520,299290,311740,296070,305830
Ang Mo Kio,162280,8680,10320,10490,10420,11350,12410,11860,12780
Bedok,276990,16050,18870,18360,17730,19500,21090,20050,21950
Bukit Batok,158030,9800,12480,13630,10980,10660,11680,11900,12500
Bukit Merah,151250,6640,8890,10540,10650,11750,11830,10630,10670
Clementi,91990,4650,5110,5920,6800,7260,7420,6520,6400
Hougang,227560,14160,17590,17190,15470,15090,16500,16610,19030
Jurong West,262730,17400,19300,18330,19890,20880,21220,20120,19360
Punggol,174450,6820,8330,17200,22190,17420,14040,9290,7890
Sengkang,249370,13180,14320,21500,25100,22600,20390,15940,14960
Tampines,259900,17590,21840,19990,18120,16880,17060,18730,21570
Woodlands,255130,21430,20740,18160,17730,17910,20320,21560,20200
Yishun,221610,13020,16710,18780,17930,16220,15820,15350,17760

