name,population
A,5
A'ISHA,3
A'ISHAH,4
A-JAY,5
AA'IDAH,4
AABAN,4
AABHA,3
AABIDA,3
AADAM,90
AADEN,5
AADHAV,5
AADHI,6
AADHIRA,13
AADHIRAA,3
AADHIRAN,5
AADHYA,35
AADI,11
AADIL,17
AADIRA,4
AADIT,4
AADIV,3
AADVIK,8
AADYA,16
AAFIA,5
AAFIYA,20
AAFIYAH,39
AAHAD,4
AAHAN,14
AAHANA,11
AAHID,4
AAHIL,91
AAILA,18
AAIMA,21
AAIMA-NOOR,3
AAIRA,33
AAIRAH,29
AAISHA,19
AAISHAH,8
AAIZA,14
AAIZAH,4
AAJAY,3
AAKASH,4
AAKIF,4
AAKIFAH,12
AALA,7
AALAYAH,11
AALEYAH,6
AALIA,19
AALIYA,22
AALIYAH,385
AALIYAH-MAE,5
AALIYAH-RAE,3
AALIYAH-ROSE,16
AALIYAN,6
AAMER,3
AAMILAH,5
AAMINA,16
AAMINAH,70
AAMIR,9
AAMIRA,6
AAMIRAH,4
AAMNA,7
AANA,6
AANAV,5
AANAYA,6
AANIYA,3
AANIYAH,6
AANVI,9
AANYA,27
AAQIL,5
AARA,8
AARADHYA,19
AARAF,3
AARAN,12
AARASH,3
AARAV,123
AARAVDEEP,6
AARAVI,6
AAREN,6
AARFA,3
AARI,16
AARIA,20
AARIAN,4
AARIANA,3
AARIB,6
AARIKA,3
AARIN,18
AARIS,6
AARISH,12
AARIV,6
AARIYA,23
AARIYAH,13
AARIYAN,16
AARIZ,61
AARLA,3
AARLO,5
AARNA,33
AAROH,3
AAROHI,16
AARON,481
AARTI,3
AARUDH,3
AARUN,3
AARUSH,26
AARUSHA,3
AARVI,17
AARVIK,6
AARVIN,3
AARYA,67
AARYAN,63
AARYAV,4
AARYN,4
AASEM,3
AASHIR,3
AASHNI,4
AASHRITH,3
AASHVI,14
AASIYA,12
AASIYAH,42
AATHIRA,10
AATHIRAN,6
AAVA,5
AAVI,3
AAVNI,3
AAVYA,10
AAYA,6
AAYAH,22
AAYAH-NOOR,3
AAYAN,76
AAYANSH,9
AAYAT,101
AAYLA,7
AAYRA,11
AAYUSH,11
AAYUSHI,4
ABANOB,3
ABBAS,30
ABBEY,7
ABBIE,41
ABBY,16
ABD,3
ABDALLA,10
ABDALLAH,14
ABDEL,3
ABDIFATAH,4
ABDIMALIK,4
ABDIRAHMAN,26
ABDISHAKUR,3
ABDOUL,5
ABDOULAYE,4
ABDOULIE,4
ABDUL,214
ABDUL-AHAD,11
ABDUL-HAADI,10
ABDUL-HADI,10
ABDUL-HAKEEM,4
ABDUL-KAREEM,10
ABDUL-MALIK,4
ABDUL-MATEEN,3
ABDUL-RAHEEM,14
ABDUL-RAHIM,3
ABDUL-RAHMAN,8
ABDUL-REHMAN,4
ABDUL-SAMI,3
ABDULAHAD,8
ABDULAHI,3
ABDULAZIZ,15
ABDULHADI,6
ABDULKADIR,3
ABDULKARIM,7
ABDULLAH,278
ABDULLAHI,23
ABDULMALIK,11
ABDULRAHEEM,8
ABDULRAHMAN,33
ABDULSAMAD,3
ABDULWAHAB,4
ABDULWALI,3
ABDUR,24
