postal_prefix,population
AL1 1,6080
AL1 2,6942
AL1 3,5821
AL1 4,9635
AL1 5,10560
AL10 0,10300
AL10 8,11449
AL10 9,17184
AL2 1,9815
AL2 2,6122
AL2 3,8274
AL3 4,6219
AL3 5,8729
AL3 6,4579
AL3 7,5346
AL3 8,4747
AL4 0,10462
AL4 8,6561
AL4 9,11409
AL5 1,6414
AL5 2,4668
AL5 3,5030
AL5 4,7137
AL5 5,8425
AL6 0,6604
AL6 9,5734
AL7 1,6594
AL7 2,7584
AL7 3,11086
AL7 4,11663
AL7 9,3
AL8 6,6078
AL8 7,7518
AL9 5,2816
AL9 6,1755
AL9 7,7135
B1 1,4602
B1 2,2940
B1 3,2486
B10 0,9283
B10 9,19015
B11 1,12475
B11 2,4331
B11 3,18633
B11 4,12508
B12 0,4842
B12 8,8668
B12 9,8322
B13 0,14531
B13 8,7718
B13 9,16434
B14 4,13053
B14 5,10658
B14 6,11668
B14 7,7908
B15 1,2888
B15 2,11376
B15 3,6303
B16 0,10321
B16 8,8499
B16 9,6885
B17 0,9385
B17 8,9827
B17 9,7900
B18 4,6588
B18 5,5483
B18 6,2326
B18 7,3183
B19 1,10161
B19 2,9951
B19 3,4650
B2 4,321
B2 5,180
B20 1,8640
B20 2,12215
B20 3,16287
B21 0,10155
B21 8,9604
B21 9,10708
B23 5,17848
B23 6,11871
B23 7,18609
B24 0,11067
B24 8,8724
B24 9,9966
B25 8,18043
B26 1,10922
B26 2,12471
B26 3,11208
B27 6,10467
B27 7,16151
B28 0,15042
B28 8,9447
B28 9,8135
B29 4,6545
B29 5,10591
B29 6,16201
B29 7,12821
B3 1,2762
B3 2,181
B3 3,60
B30 1,10534
B30 2,11297
B30 3,7772
B31 1,11731
B31 2,13696
B31 3,11370
B31 4,10338
B31 5,10910
B32 1,9439
B32 2,13621
B32 3,11527
B32 4,5130
B33 0,11062
B33 8,13751
B33 9,12802
B34 6,11657
B34 7,8868
B35 6,4233
B35 7,5667
B36 0,13606
B36 8,13873
B36 9,9406
B37 5,10353
B37 6,12473
B37 7,14848
B38 0,1888
B38 8,9126
B38 9,10103
B4 6,1588
B4 7,5391
B40 1,2
B42 1,10981
B42 2,14100
B43 5,10994
B43 6,7044
B43 7,12172
B44 0,15905
B44 8,10420
B44 9,11418
B45 0,7227
B45 8,12377
B45 9,12847
B46 1,7328
B46 2,2411
B46 3,3055
B47 5,6586
B47 6,3577
B48 7,6055
B49 5,4105
B49 6,6181
B5 4,1832
B5 5,1116
B5 6,683
B5 7,9491
B50 4,6979
B6 4,1315
B6 5,4940
B6 6,11373
B6 7,3195
B60 1,7014
B60 2,7795
B60 3,9314
B60 4,3747
B60 9,1
B61 0,11700
B61 7,5282
B61 8,6866
B61 9,2544
B62 0,6494
B62 8,7979
B62 9,11076
B63 1,5836
B63 2,12459
B63 3,8396
B63 4,10454
B64 5,4914
B64 6,7292
B64 7,6297
B65 0,6225
B65 8,8476
B65 9,10166
B66 1,4510
B66 2,3037
B66 3,9422
B66 4,9607
B67 5,9824
B67 6,12100
B67 7,10686
B68 0,9779
B68 8,11001
B68 9,12862
B69 1,15539
B69 2,6038
B69 3,4642
B69 4,5598
B7 4,4406
B7 5,5524
B70 0,8616
B70 1,1
B70 6,7672
B70 7,4271
B70 8,5405
B70 9,8092
B71 1,8978
B71 2,10616
B71 3,9702
B71 4,4085
B72 1,9798
B73 5,12866
B73 6,10487
B74 2,9596
B74 3,10987
B74 4,11887
B75 5,8703
B75 6,8606
B75 7,10278
B76 0,376
B76 1,11185
B76 2,6735
B76 9,3010
B77 1,10733
B77 2,14032
B77 3,9226
B77 4,14069
B77 5,9152
B78 1,10390
B78 2,4562
B78 3,9847
B79 0,4457
B79 7,6347
B79 8,11352
B79 9,2240
B8 1,11953
B8 2,17682
B8 3,16974
B80 7,7271
B9 4,4935
B9 5,22380
B90 1,12660
B90 2,12625
B90 3,11159
B90 4,12700
B90 8,472
B91 1,11512
B91 2,11705
B91 3,10624
B92 0,4213
B92 7,12176
B92 8,12445
B92 9,8236
B93 0,3929
B93 8,8095
B93 9,8044
B94 5,3601
B94 6,4079
B95 5,4318
B95 6,2037
B96 6,5290
B97 4,5759
B97 5,16989
B97 6,12334
B98 0,14350
B98 7,20258
B98 8,8704
B98 9,6985
BA1 1,1987
BA1 2,6264
BA1 3,7258
BA1 4,5669
BA1 5,4942
BA1 6,8108
BA1 7,5856
BA1 8,866
BA1 9,1296
BA10 0,3674
BA11 1,6627
BA11 2,10265
BA11 3,5201
BA11 4,6263
BA11 5,4783
BA11 6,2149
BA12 0,5536
BA12 6,4397
BA12 7,3371
BA12 8,9432
BA12 9,6712
BA13 2,1059
BA13 3,14469
BA13 4,6416
BA14 0,12608
BA14 6,7220
BA14 7,17096
BA14 8,6835
BA14 9,9050
BA15 1,9901
BA15 2,4167
BA16 0,11387
BA16 9,2579
BA2 0,4878
BA2 1,13054
BA2 2,11410
BA2 3,11608
BA2 4,6243
BA2 5,7861
BA2 6,6727
BA2 7,7866
BA2 8,7959
BA2 9,2799
BA20 1,3169
BA20 2,8723
BA20 9,2
BA21 3,15027
BA21 4,9558
BA21 5,11613
BA22 7,3944
BA22 8,9681
BA22 9,5363
BA3 2,10616
BA3 3,11010
BA3 4,8579
BA3 5,7244
BA4 4,5367
BA4 5,8365
BA4 6,4736
BA5 1,6830
BA5 2,7655
BA5 3,4660
BA6 8,6637
BA6 9,6686
BA7 7,3919
BA8 0,4387
BA9 8,1725
BA9 9,6929
BB1 1,12675
BB1 2,8568
BB1 3,3851
BB1 4,6734
BB1 5,8722
BB1 6,4176
BB1 7,3790
BB1 8,11328
BB1 9,10770
